Model name;Random seed;Status;Objective;Lower bound;Time;Last solution time;LB time;Solutions;LNS steps;Restarts;Branches;Fails;Memory;Int Vars;IntervalVars;Constraints;Solver;Workers;Time limit;Parameters;CPU;Date
jobshop_demirkol_cscmax_30_20_4;1;Solution;4908;4301;3600.00;1954.42;0.00;426;9392314;1407;3395760990;929232849;20532096;0;600;591;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T13:41:52.588Z"
jobshop_demirkol_cscmax_30_20_6;1;Solution;4828;4204;3600.00;2606.58;0.00;475;9431983;1844;3420005303;936904587;21736320;0;600;591;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T14:28:23.482Z"
jobshop_demirkol_cscmax_30_20_7;1;Solution;4861;4252;3600.00;2642.67;0.00;455;9615722;2032;3490989246;948786297;23333504;0;600;591;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T14:30:10.882Z"
jobshop_demirkol_cscmax_30_20_9;1;Solution;5118;4452;3600.00;566.88;0.00;468;9519264;1674;3313523644;938624862;22535552;0;600;591;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T14:41:52.615Z"
jobshop_demirkol_cscmax_40_15_3;1;Solution;5314;4910;3600.00;909.62;0.00;515;8597605;1973;2923551777;833428095;24172096;0;600;576;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T15:28:23.508Z"
jobshop_demirkol_cscmax_40_15_4;1;Solution;5354;5130;3600.00;1903.52;0.00;592;8388438;2277;2982924355;824497511;26658048;0;600;576;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T15:30:10.909Z"
jobshop_demirkol_cscmax_40_15_6;1;Solution;5423;5031;3600.00;2434.62;0.00;535;8006486;1969;2888188685;795774230;24349440;0;600;576;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T15:41:52.641Z"
jobshop_demirkol_cscmax_40_15_7;1;Solution;5326;5102;3600.00;3347.04;0.00;501;8497950;2037;3057836886;839043259;24695040;0;600;576;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T16:28:23.535Z"
jobshop_demirkol_cscmax_40_15_8;1;Solution;5414;5093;3600.00;3456.85;0.00;615;8305670;2838;2898179168;814374968;28690688;0;600;576;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T16:30:10.935Z"
jobshop_demirkol_cscmax_40_20_10;1;Solution;5884;5391;3600.00;2637.17;0.01;663;6297607;2579;2959985376;688603894;37155328;0;800;781;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T16:41:52.668Z"
